Ciudad,Territorio,Anio,v1_d_001,v1_d_002,v2_p_001,v2_p_002,v2_p_003,v2_p_004,v2_p_005,v2_p_006,v2_p_007,v2_p_008,v3_s_001,v3_s_002,v3_s_003,v3_s_004,v3_s_005,v3_s_006,v3_s_007,v3_s_008,v3_s_009,v3_s_010,v3_s_011,v3_s_012,v4_e_001,v4_e_002,v4_e_003,v4_e_004,v4_e_005,v4_e_006,v4_e_007,v4_e_008,v4_e_009,v4_e_010,v4_e_011,v4_e_012,v5_ml_001,v5_ml_002,v5_ml_003,v5_ml_004,v5_ml_005,v6_sc_001,v6_sc_002,v6_sc_003,v6_sc_004,v6_sc_005,v6_sc_006,v6_sc_007,v6_sc_008,v6_sc_009,v6_sc_010,v6_sc_011,v6_sc_012,v7_v_001,v7_v_002,v7_v_003,v7_v_004,v7_v_005,v7_v_006,v7_v_007,v7_v_008,v7_v_009,v7_v_010,v7_v_011,v8_ma_01,v8_ma_02,v8_ma_03,v8_ma_04,v8_ma_05,v8_ma_06,v8_ma_07,v8_ma_08,v9_m_001,v9_m_002,v9_m_003,v9_m_004,v9_m_005,v9_m_006,v9_m_007,v9_m_008,v9_m_009,v9_m_010,v9_m_011,v9_m_012,v9_m_013,v9_m_014,v9_m_015,v0_ep_001,v0_ep_002,v1_cr_001,v1_cr_002,v1_cr_003,v2_pc_001,v2_pc_002,v2_pc_003,v2_pc_004,v2_pc_005,v2_pc_006,v2_pc_007,v2_pc_008,v2_pc_009,v2_pc_010,v2_pc_011,v2_pc_012,v2_pc_013,v2_pc_014,v2_pc_015,v2_pc_016,v2_pc_017,v3_gp_001,v3_gp_002,v3_gp_003,v3_gp_004,v3_gp_005,v3_gp_006,v3_gp_007,v3_gp_008,v3_gp_009,v4_ee_001,v4_ee_002,v4_ee_003
Barranquilla,Total Barranquilla,2011,1193667,100,35,5,6,0.47,,,7,7,114,96,61,437.81, 45.21,9,64.51,100,113,15.17,16.98,,,48,116,95,61,,3,,,,,7,59,55,59,8,18,13,26,38,, 27.48,307.20,,,2354,,41.00, 49.60,,6,100,75,,96,77,100,87,98,69,772.20, 99.25,,,,,,  9.77,60,  79331.29,32,0, 8.01, 2.66,,,,,,,,,,,32,,88,,20,,39,3,20,5,9,23,15,23,18,17,27,24,40,36,43,55.72,52, 428816.0,48,84,1269161,1,,76,5, 0.11,
Barranquilla,Total Barranquilla,2012,1200513,100,30,4,12,0.46,,,3,7,116,97,65,509.62, 35.80,9,85.25,99,99,12.53,14.10,,,53,99,88,55,,3,25,38,20,43,12,61,56,58,8,19,14,28,26,, 29.24,285.29,,,2332,,34.00, 49.15,80,1,100,84,,96,84,100,90,99,76,790.00, 99.42,,,,,,  0.00,61,  93791.12,39,2, 8.67, 2.66,,,,,,,,,,,54,,83,,17,,37,4,17,2,3,30,18,20,23,22,26,22,48,46,52,74.50,56, 454954.8,44,87,1231715,44,40,31,3, 0.12,
Barranquilla,Total Barranquilla,2013,1206946,100,29,4,2,0.46,45,5,2,4,115,93,53,516.59, 17.70,9,83.01,99,105,14.84,17.52,,,55,88,82,51,,3,29,40,26,45,12,61,56,55,8,17,16,43,33,6, 26.43,313.27, 50.21,12.93,2411,0,25.00, 39.19,83,62,100,80,,98,82,100,89,100,72,833.66,101.00,,1.20,,,, 12.12,58,  95248.50,38,-7, 9.42, 2.67, 5.39, 84.76,  0.00,4,4,45,4,23,17,0.86,37,,79,,24,47,30,4,19,4,10,26,19,19,18,26,31,24,42,37,41,67.53,51, 494172.5,49,85,1419850,,36,34,2, 0.14,22
Barranquilla,Total Barranquilla,2014,1212943,100,26,4,7,0.45,,,4,7,121,95,69,540.00, 32.63,9,89.38,98,99,13.66,14.46,,,55,84,81,50,,3,28,28,26,43,,62,57,54,8,16,21,39,32,, 28.28,297.62, 54.41,,,,22.00, 39.00,81,54,100,79,,100,78,100,88,100,57,886.00,103.00,,0.79,,,,110.00,68,,40,,10.21, 2.69, 7.92, 94.40,  0.00,41,39,16,41,22,33,0.80,45,27,88,85,44,,37,2,14,4,11,21,18,18,17,26,34,25,34,33,37,80.70,34,,41,92,1396479,,41,51,3, 0.15,22
Barranquilla,Total Barranquilla,2015,1218475,100,22,2,12,0.44,,,5,7,121,96,65,548.00, 50.86,9,83.91,96,98,12.76,14.54,,,61,89,84,53,,1,25,42,27,41,13,66,60,55,9,15,21,39,34,, 34.96,321.55, 67.92,,,,19.00, 63.00,81,52,100,76,,100,80,100,86,100,40,885.00,105.00,2030,0.82,,,, 68.00,64,,42,,10.92, 2.68, 8.21, 97.50,  8.00,31,46,18,51,22,28,0.90,37,18,88,85,46,,33,3,10,6,11,25,19,18,16,22,33,20,37,35,39,,34,,42,91,1425596,,44,52,5, 0.15,
Bogotá,Total Bogotá,2011,7467804,100,13,2,8,0.52,,,8,11,89,93,56,384.25, 44.01,13,59.16,94,93,12.01,13.71,,55,78,94,89,58,,4,,,,,7,71,64,46,10,16,26,45,22,, 22.15,569.34,,,430,,41.62, 24.85,,43,100,70,36,99,64,100,63,100,76,494.15, 73.55,,0.79,51.63, 1,,  6.70,34,2054039.17,,-3,15.57, 3.61,,,,,,,,,,2.05,21,28,84,,5,,12,5,13,9,11,26,17,16,14,18,23,18,32,36,34,54.48,74, 622105.9,26,78, 886753,24,20,5,3, 0.14,
Bogotá,Total Bogotá,2012,7571345,100,12,2,-1,0.50,,,8,12,89,97,46,385.45, 43.62,13,59.28,88,89,11.83,13.56,,,82,89,91,65,,4,46,61,42,64,14,72,65,46,10,16,27,47,17,, 16.95,623.40,,,782,,31.33, 25.09,84,41,100,68,35,98,60,100,63,100,79,492.00, 78.00,,0.83,47.60, 1,,  0.07,37,2180779.78,,3,16.73, 4.33,,,,,,,,,,3.93,20,39,84,92,30,,27,6,17,4,16,22,12,10,11,16,20,13,34,44,37,44.00,75, 717188.3,25,78, 885899,20,19,22,2, 0.16,
Bogotá,Total Bogotá,2013,7674366,100,10,2,11,0.50,20,3,7,10,88,85,47,367.57, 28.09,13,56.36,103,94,10.04,11.59,,,81,89,92,67,,4,49,61,40,59,14,72,65,44,9,15,23,36,21,15, 16.72,592.01, 34.91,15.40,440,0,26.44, 27.51,84,38,100,72,35,99,64,100,60,100,80,491.26, 74.79,24,0.84,47.90, 1,4,  9.38,38,2703754.37,,0,17.79, 4.95, 6.96, 60.33,376.00,7,3,57,5,37,20,4.10,24,26,71,85,32,35,31,5,9,5,13,24,15,15,16,26,26,26,34,42,39,70.10,75, 714410.3,25,81,1164652,17,21,28,2, 0.17, 3
Bogotá,Total Bogotá,2014,7776845,100,10,2,5,0.50,,,8,11,93,90,46,376.10, 43.31,12,52.54,88,90, 9.96,11.18,18,,79,88,93,71,97,3,41,53,39,55,13,73,66,44,9,15,24,33,17,17, 17.50,407.50,  4.70,33.90,,,29.50, 35.70,81,20,100,73,35,99,65,100,64,100,79,490.00, 74.00,30,0.82,52.00, 1,11,  9.00,32,,,,13.20, 5.40, 8.20, 80.44,385.00,2,46,7,6,33,19,3.90,28,20,74,84,31,,33,6,10,6,13,25,12,16,16,23,27,21,33,36,34,61.50,,,,,,18,20,35,4, 0.19, 3
Bogotá,Total Bogotá,2015,7878783,100,10,2,-1,0.50,,,6,9,94,89,18,370.10, 43.86,12,48.50,91,98, 8.33,10.07,17,,,,,,96,3,49,57,36,55,15,72,65,44,9,13,20,40,14,15, 17.20,357.80,  5.70,21.80,,1,29.10, 41.50,81,54,100,79,35,99,72,100,64,100,83,483.00, 73.00,30,0.76,44.00, 1,11, 24.00,41,,,,13.60, 5.70, 7.00, 88.50,384.00,2,48,6,4,31,20,3.70,26,27,73,80,25,,23,3,7,6,7,34,12,20,19,25,24,19,37,41,36,,,,,,,15,16,19,7, 0.19, 3
